Food,Region,RMSE,MAE,MAPE (%)
beans,Autonomous region in Muslim Mindanao,24.719528513614243,23.458473493582506,24.36409459580436
beans,Cordillera Administrative region,24.266006584079616,22.917699616981736,20.758987013233504
beans,Market Average,19.059261196327867,17.19314145505583,16.626868535511218
beans,National Capital region,26.947365036464447,25.472330501669592,22.52540379688518
beans,Region I,19.651222759868947,17.420927625909755,16.836185004913432
beans,Region II,28.815841023798804,26.02880226602851,24.174644437304835
beans,Region III,22.782363478900518,21.639158546652048,19.882801006832164
beans,Region IV-A,22.089115388498097,20.306188847208357,18.738848083971074
beans,Region IV-B,23.30562666764894,22.315551828107846,21.049943925220482
beans,Region IX,24.49468479214263,22.71254910874447,23.38556774792411
beans,Region V,18.89359636761155,18.141482236356058,15.887835913438463
beans,Region VI,22.445261272086906,21.811499736923246,22.08806513752217
beans,Region VII,27.241385268054497,25.52335263459293,27.382457590400005
beans,Region VIII,22.264946546629936,21.062270204070924,20.73675350927306
beans,Region X,35.711111854442386,33.56766644855504,31.625901612449603
beans,Region XI,22.185844738237044,20.031943566400425,20.32909089470214
beans,Region XII,10.783741837957606,9.56276555226955,10.977963272281633
beans,Region XIII,20.331535605127158,18.719002107583176,18.878852449722825
cabbage,Autonomous region in Muslim Mindanao,20.68732423477369,18.562412148120067,19.75111174227797
cabbage,Cordillera Administrative region,15.247885700376855,11.899016951346576,20.521332709010593
cabbage,Market Average,16.251350928621093,13.318313985980097,27.732894470374585
cabbage,National Capital region,25.87936386134233,18.640223879975952,20.38362653462791
cabbage,Region I,18.71411636302155,15.431893899028656,26.147243008969866
cabbage,Region II,24.182125945045325,18.66184590066,27.882649513300894
cabbage,Region III,18.06435356079574,13.57477821502559,17.626212609301678
cabbage,Region IV-A,21.835026761734433,17.745891814456087,19.837525255908552
cabbage,Region IV-B,22.35688888075716,17.76137993042638,15.394598637150356
cabbage,Region IX,19.36881866628317,17.591774788018164,20.193521890650654
cabbage,Region V,19.067398771650602,14.584552158831096,13.8880966038341
cabbage,Region VI,17.980879270046355,15.08295852113132,14.290377557717274
cabbage,Region VII,24.51976114061255,21.81870803419234,25.337305832759327
cabbage,Region VIII,9.12258467556331,7.143762426693064,7.457249673777041
cabbage,Region X,12.255175075335654,10.545113699068454,14.188251155664261
cabbage,Region XI,9.82054589194873,8.368826812618332,12.098713735582246
cabbage,Region XII,7.698417379024059,6.403652885996856,10.266742844372793
cabbage,Region XIII,7.91315436260249,6.028487080389385,7.886154019435924
carrots,Autonomous region in Muslim Mindanao,41.28853388978975,37.35288268886959,32.5994979543267
carrots,Cordillera Administrative region,23.182568980687616,18.89967255463001,22.10938831731721
carrots,Market Average,33.04654053645673,28.80552935313884,30.000237336323288
carrots,National Capital region,26.426477139625838,20.048811398737474,17.81919632093046
carrots,Region I,38.313881866298814,32.06906143085624,30.03388607054988
carrots,Region II,34.71384184084965,28.332981171363244,30.42779712539798
carrots,Region III,40.33431982617514,32.906133805749676,29.830133043322505
